GEOID,B19013_001E,B19013_001M,B25077_001E,B25077_001M,B25064_001E,B25064_001M,B25003_001E,B25003_001M,B25003_003E,B25003_003M,B08301_001E,B08301_001M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_010E,B08301_010M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
13067030365,178733,29654,624700,67027,2733,2478,1138,188,102,83,1347,289,792,212,2,2,12,19,0,14,0,14,0,14,0,14,16,27,525,154
13067030366,162048,61863,597300,26414,-666666666,-222222222,1085,241,48,43,1396,451,823,260,66,62,32,34,0,14,0,14,5,10,0,14,0,14,470,253
13067030369,213279,4738,708100,49657,-666666666,-222222222,1166,281,8,21,1647,483,961,455,39,41,0,14,0,14,0,14,0,14,21,29,11,19,615,141
13067030370,240341,69035,710600,50708,-666666666,-222222222,1503,348,34,29,1933,683,1055,323,120,64,6,9,0,14,0,14,0,14,0,14,15,24,737,426
13067030405,73477,15119,277200,38743,1717,117,2903,329,1501,275,3846,595,2433,371,160,136,41,59,143,176,0,20,0,20,105,168,82,93,882,265
13067030407,124964,25594,397600,34724,2101,176,2301,345,620,232,2953,509,1802,401,168,135,0,20,0,20,0,20,0,20,0,20,230,242,753,216
13067030408,138478,15925,468600,20289,1664,135,1252,104,542,126,1771,246,1098,237,125,84,0,14,0,14,0,14,0,14,56,80,13,22,479,158
13067030409,145518,13996,554600,39334,-666666666,-222222222,1253,146,42,52,1753,274,1107,289,90,78,0,14,0,14,0,14,0,14,1,6,28,45,527,187
13067030413,66360,16276,213400,20467,1645,70,2640,214,2193,245,3867,409,2702,439,431,244,0,20,139,185,0,20,0,20,0,20,44,55,551,212
13067031207,96490,12618,521200,107153,1913,102,3861,493,3020,473,4664,673,2363,624,555,438,0,20,0,20,0,20,0,20,249,188,0,20,1497,445
13067031212,234087,49231,1074400,179048,-666666666,-222222222,1079,174,122,126,1230,343,687,164,0,14,0,14,0,14,0,14,0,14,0,14,12,18,531,313
13067031217,90217,26345,433100,70761,1772,138,2066,270,1303,274,2986,383,1929,457,45,39,21,34,17,28,0,14,0,14,33,43,23,37,918,381
13067031218,91364,32192,522500,260481,1714,80,1260,185,747,176,1378,338,912,301,67,69,0,14,0,14,0,14,0,14,22,38,11,18,366,160
13089021101,250001,-333333333,963400,43729,3501,-333333333,1389,222,81,39,2468,664,1443,457,51,44,1,2,0,14,0,14,0,14,16,19,0,14,957,313
13089021103,103491,25222,791000,127828,1933,118,2017,258,1175,200,2617,581,1711,522,18,30,0,14,0,14,0,14,29,40,75,64,0,14,784,308
13089021104,94792,32175,381300,151090,1903,420,1069,188,488,147,1012,238,461,145,96,125,62,51,0,14,0,14,0,14,67,68,0,14,326,130
